queue,description,division,acw,inQueueFlow,routingRules,callScript,groupRouting,bullseye,MemberGroups,evaluation,callerIDNum,callerIDName,alerting_timeout_seconds,slPercentage,slDuration_ms,enableTranscription,enableManualAssignment,suppressInQueueCallRecording,callBackMode,CallbackLiveVoice,CallbackLiveVoiceFlow,CallbackAnswerMachine,CallbackAnswerMachineFlow
z5,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
z2,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e3,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e4,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e5,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e6,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e7,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e8,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e9,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
e10,,Home,MANDATORY_TIMEOUT:120,InQueueFlow,"10:90:MEETS_THRESHOLD,10:80:MEETS_THRESHOLD,10:70:MEETS_THRESHOLD,10:ANY",93406a82-ab5f-49d5-b5b7-e1073b20ee17,"EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2,EstimatedWaitTime:GreaterThan:30:2",,"bigTest1:none,bigTest2:none,bigTest3:none,bigTest4:none|bigTest5:none,bigTest6:none,bigTest7:none,bigTest8:none|bigTest9:none,bigTest10:none,bigTest11:none,bigTest12:none|bigTest13:none,bigTest14:none,bigTest15:none,bigTest16:none|bigTest17:none,bigTest18:none,bigTest19:none,bigTest20:none",BEST,,,,,,,,,,,,,
